Round 54: test_acc=0.615463875532, bytes=279.94464000 MB, time=13049.39769690s, delta_acc/byte=1.101858677962e-11, delta_acc/sec=0.000000236378,acc/byte=2.198519948559e-09, acc/sec=0.000047164160, 
Round 55: test_acc=0.617869433761, bytes=285.12880000 MB, time=13303.61338470s, delta_acc/byte=8.436742372193e-12, delta_acc/sec=0.000000180820,acc/byte=2.166983600957e-09, acc/sec=0.000046443730, 
Round 56: test_acc=0.615776892006, bytes=290.31296000 MB, time=13412.89746480s, delta_acc/byte=-7.207882673394e-12, delta_acc/sec=-0.000000156010,acc/byte=2.121079582553e-09, acc/sec=0.000045909312, 
Round 57: test_acc=0.616717592180, bytes=295.49712000 MB, time=13619.84500420s, delta_acc/byte=3.183449548943e-12, delta_acc/sec=0.000000069068,acc/byte=2.087051109601e-09, acc/sec=0.000045280808, 
Round 58: test_acc=0.621053333879, bytes=300.68128000 MB, time=13796.72248700s, delta_acc/byte=1.441972609250e-11, delta_acc/sec=0.000000314259,acc/byte=2.065487195872e-09, acc/sec=0.000045014556, 
Round 59: test_acc=0.621661605835, bytes=305.86544000 MB, time=13965.12636970s, delta_acc/byte=1.988691355400e-12, delta_acc/sec=0.000000043556,acc/byte=2.032467629671e-09, acc/sec=0.000044515287, 
Round 60: test_acc=0.623627979755, bytes=311.04960000 MB, time=14159.74611780s, delta_acc/byte=6.321737499231e-12, delta_acc/sec=0.000000138871,acc/byte=2.004914906675e-09, acc/sec=0.000044042314, 
Round 61: test_acc=0.625085465908, bytes=316.23376000 MB, time=14371.71415920s, delta_acc/byte=4.608888540708e-12, delta_acc/sec=0.000000101414,acc/byte=1.976656337730e-09, acc/sec=0.000043494148, 
Round 62: test_acc=0.626573105454, bytes=321.41792000 MB, time=14587.83169980s, delta_acc/byte=4.628365295856e-12, delta_acc/sec=0.000000101978,acc/byte=1.949403149191e-09, acc/sec=0.000042951764, 
Round 63: test_acc=0.628903069496, bytes=326.60208000 MB, time=14793.24037820s, delta_acc/byte=7.133953469341e-12, delta_acc/sec=0.000000157502,acc/byte=1.925594195530e-09, acc/sec=0.000042512868, 
Round 64: test_acc=0.627780923247, bytes=331.78624000 MB, time=14943.30202470s, delta_acc/byte=-3.382136187497e-12, delta_acc/sec=-0.000000075094,acc/byte=1.892124650038e-09, acc/sec=0.000042010857, 
Round 65: test_acc=0.631366965771, bytes=336.97040000 MB, time=15054.87628590s, delta_acc/byte=1.064201046556e-11, delta_acc/sec=0.000000238198,acc/byte=1.873657050503e-09, acc/sec=0.000041937705, 
Round 66: test_acc=0.632916631401, bytes=342.15456000 MB, time=15319.08430010s, delta_acc/byte=4.529139199149e-12, delta_acc/sec=0.000000101159,acc/byte=1.849797446512e-09, acc/sec=0.000041315566, 
Round 67: test_acc=0.633036954403, bytes=347.33872000 MB, time=15471.14873580s, delta_acc/byte=3.464140201197e-13, delta_acc/sec=0.000000007777,acc/byte=1.822534943420e-09, acc/sec=0.000040917256, 
Round 68: test_acc=0.634454265535, bytes=352.52288000 MB, time=15563.49410560s, delta_acc/byte=4.020479839363e-12, delta_acc/sec=0.000000091066,acc/byte=1.799753438798e-09, acc/sec=0.000040765542, 
Round 69: test_acc=0.635064701140, bytes=357.70704000 MB, time=15790.81130190s, delta_acc/byte=1.706523877889e-12, delta_acc/sec=0.000000038658,acc/byte=1.775376579505e-09, acc/sec=0.000040217357, 
Round 70: test_acc=0.636259674728, bytes=362.89120000 MB, time=15997.37039560s, delta_acc/byte=3.292925229352e-12, delta_acc/sec=0.000000074698,acc/byte=1.753306982170e-09, acc/sec=0.000039772766, 
Round 71: test_acc=0.637481662929, bytes=368.07536000 MB, time=16217.15264430s, delta_acc/byte=3.319940245773e-12, delta_acc/sec=0.000000075352,acc/byte=1.731932457878e-09, acc/sec=0.000039309099, 
Round 72: test_acc=0.638187851906, bytes=373.25952000 MB, time=16361.71777390s, delta_acc/byte=1.891951682209e-12, delta_acc/sec=0.000000043161,acc/byte=1.709769792089e-09, acc/sec=0.000039004942, 
Round 73: test_acc=0.639211280346, bytes=378.44368000 MB, time=16583.04307950s, delta_acc/byte=2.704308445828e-12, delta_acc/sec=0.000000061715,acc/byte=1.689052596534e-09, acc/sec=0.000038546079, 
Round 74: test_acc=0.640334541798, bytes=383.62784000 MB, time=16812.86226750s, delta_acc/byte=2.927997748342e-12, delta_acc/sec=0.000000066810,acc/byte=1.669155559194e-09, acc/sec=0.000038085992, 
Round 75: test_acc=0.640973542929, bytes=388.81200000 MB, time=16901.42684340s, delta_acc/byte=1.643470703213e-12, delta_acc/sec=0.000000037808,acc/byte=1.648543622441e-09, acc/sec=0.000037924227, 
Round 76: test_acc=0.643544031680, bytes=393.99616000 MB, time=17112.33780470s, delta_acc/byte=6.524146709792e-12, delta_acc/sec=0.000000150213,acc/byte=1.633376405698e-09, acc/sec=0.000037607020, 
Round 77: test_acc=0.645392932594, bytes=399.18032000 MB, time=17291.30577140s, delta_acc/byte=4.631743654577e-12, delta_acc/sec=0.000000106927,acc/byte=1.616795468759e-09, acc/sec=0.000037324708, 
Round 78: test_acc=0.644577371776, bytes=404.36448000 MB, time=17488.11962990s, delta_acc/byte=-2.016895296339e-12, delta_acc/sec=-0.000000046635,acc/byte=1.594050426427e-09, acc/sec=0.000036858015, 
Round 79: test_acc=0.645961402357, bytes=409.54864000 MB, time=17638.18134450s, delta_acc/byte=3.379404655136e-12, delta_acc/sec=0.000000078468,acc/byte=1.577251977583e-09, acc/sec=0.000036622903, 
Round 80: test_acc=0.645856582224, bytes=414.73280000 MB, time=17808.01425820s, delta_acc/byte=-2.527413608365e-13, delta_acc/sec=-0.000000005886,acc/byte=1.557283586503e-09, acc/sec=0.000036267748, 
Round 81: test_acc=0.646539769471, bytes=419.91696000 MB, time=17972.34760400s, delta_acc/byte=1.626957973602e-12, delta_acc/sec=0.000000038013,acc/byte=1.539684821186e-09, acc/sec=0.000035974141, 
Round 82: test_acc=0.648624863923, bytes=425.10112000 MB, time=18232.10320500s, delta_acc/byte=4.904937563807e-12, delta_acc/sec=0.000000114364,acc/byte=1.525813114589e-09, acc/sec=0.000035575976, 
Round 83: test_acc=0.649261563122, bytes=430.28528000 MB, time=18508.81390230s, delta_acc/byte=1.479714108920e-12, delta_acc/sec=0.000000034400,acc/byte=1.508909538161e-09, acc/sec=0.000035078507, 
Round 84: test_acc=0.650976938307, bytes=435.46944000 MB, time=18690.81744760s, delta_acc/byte=3.939140218457e-12, delta_acc/sec=0.000000091776,acc/byte=1.494885469592e-09, acc/sec=0.000034828703, 
Round 85: test_acc=0.652313691676, bytes=440.65360000 MB, time=18825.57890380s, delta_acc/byte=3.033569607460e-12, delta_acc/sec=0.000000071007,acc/byte=1.480332151322e-09, acc/sec=0.000034650392, 
Round 86: test_acc=0.652023456991, bytes=445.83776000 MB, time=18964.11525900s, delta_acc/byte=-6.509872222222e-13, delta_acc/sec=-0.000000015304,acc/byte=1.462467999549e-09, acc/sec=0.000034381960, 
Round 87: test_acc=0.653191849887, bytes=451.02192000 MB, time=19144.25821790s, delta_acc/byte=2.590545702640e-12, delta_acc/sec=0.000000061031,acc/byte=1.448248568246e-09, acc/sec=0.000034119465, 
Round 88: test_acc=0.652914426625, bytes=456.20608000 MB, time=19306.33291010s, delta_acc/byte=-6.081095249677e-13, delta_acc/sec=-0.000000014370,acc/byte=1.431183088627e-09, acc/sec=0.000033818666, 
Round 89: test_acc=0.654759868681, bytes=461.39024000 MB, time=19524.05911800s, delta_acc/byte=3.999742293326e-12, delta_acc/sec=0.000000094521,acc/byte=1.419102122059e-09, acc/sec=0.000033536052, 
Round 90: test_acc=0.657289750278, bytes=466.57440000 MB, time=19641.07507890s, delta_acc/byte=5.422246905457e-12, delta_acc/sec=0.000000128806,acc/byte=1.408756567609e-09, acc/sec=0.000033465060, 
Round 91: test_acc=0.656066665947, bytes=471.75856000 MB, time=19754.54331190s, delta_acc/byte=-2.592606545515e-12, delta_acc/sec=-0.000000061914,acc/byte=1.390683119661e-09, acc/sec=0.000033210925, 
Round 92: test_acc=0.656851939261, bytes=476.94272000 MB, time=19843.38435410s, delta_acc/byte=1.646473005233e-12, delta_acc/sec=0.000000039574,acc/byte=1.377213471800e-09, acc/sec=0.000033101810, 
Round 93: test_acc=0.657556287944, bytes=482.12688000 MB, time=20101.43871410s, delta_acc/byte=1.460919754894e-12, delta_acc/sec=0.000000035040,acc/byte=1.363865644546e-09, acc/sec=0.000032711902, 
Round 94: test_acc=0.657185904086, bytes=487.31104000 MB, time=20307.12620160s, delta_acc/byte=-7.600563670396e-13, delta_acc/sec=-0.000000018239,acc/byte=1.348596379195e-09, acc/sec=0.000032362329, 
Round 95: test_acc=0.657985015810, bytes=492.49520000 MB, time=20506.70405620s, delta_acc/byte=1.622577689894e-12, delta_acc/sec=0.000000038968,acc/byte=1.336023205525e-09, acc/sec=0.000032086337, 
Round 96: test_acc=0.659067887366, bytes=497.67936000 MB, time=20649.94007760s, delta_acc/byte=2.175841803610e-12, delta_acc/sec=0.000000052439,acc/byte=1.324282138937e-09, acc/sec=0.000031916213, 
Round 97: test_acc=0.659158855975, bytes=502.86352000 MB, time=20831.39238940s, delta_acc/byte=1.809011893650e-13, delta_acc/sec=0.000000004367,acc/byte=1.310810646942e-09, acc/sec=0.000031642573, 
Round 98: test_acc=0.661293611825, bytes=508.04768000 MB, time=20982.10204380s, delta_acc/byte=4.201880913693e-12, delta_acc/sec=0.000000101742,acc/byte=1.301636909009e-09, acc/sec=0.000031517033, 
Round 99: test_acc=0.662505647242, bytes=513.23184000 MB, time=21201.78170110s, delta_acc/byte=2.361574873369e-12, delta_acc/sec=0.000000057167,acc/byte=1.290850636317e-09, acc/sec=0.000031247640, 
Round 100: test_acc=0.660245575011, bytes=518.41600000 MB, time=21345.61869570s, delta_acc/byte=-4.359572681578e-12, delta_acc/sec=-0.000000105880,acc/byte=1.273582557272e-09, acc/sec=0.000030931199, 
