Round 44: test_acc=0.042666582265, bytes=62.24768000 MB, time=2483.52707790s, delta_acc/byte=-5.854035377989e-11, delta_acc/sec=-0.000001467269,acc/byte=6.854324894508e-10, acc/sec=0.000017179834, 
Round 45: test_acc=0.052237219699, bytes=63.66240000 MB, time=2559.74172360s, delta_acc/byte=1.503342229289e-10, delta_acc/sec=0.000003738907,acc/byte=8.205348792808e-10, acc/sec=0.000020407223, 
Round 46: test_acc=0.046330810557, bytes=65.07712000 MB, time=2628.84262070s, delta_acc/byte=-9.076014952118e-11, delta_acc/sec=-0.000002246772,acc/byte=7.119370149927e-10, acc/sec=0.000017624034, 
Round 47: test_acc=0.043252691068, bytes=66.49184000 MB, time=2666.03646230s, delta_acc/byte=-4.629319160613e-11, delta_acc/sec=-0.000001154568,acc/byte=6.504962273229e-10, acc/sec=0.000016223593, 
Round 48: test_acc=0.035582112055, bytes=67.90656000 MB, time=2696.39470190s, delta_acc/byte=-1.129578499115e-10, delta_acc/sec=-0.000002844754,acc/byte=5.239863726755e-10, acc/sec=0.000013196181, 
Round 49: test_acc=0.027271687901, bytes=69.32128000 MB, time=2763.41913330s, delta_acc/byte=-1.198827279967e-10, delta_acc/sec=-0.000003007298,acc/byte=3.934100452364e-10, acc/sec=0.000009868821, 
Round 50: test_acc=0.039481936032, bytes=70.73600000 MB, time=2791.66167670s, delta_acc/byte=1.726171699178e-10, delta_acc/sec=0.000004373828,acc/byte=5.581590142495e-10, acc/sec=0.000014142808, 
Round 51: test_acc=0.042069451669, bytes=72.15072000 MB, time=2811.35617260s, delta_acc/byte=3.586264471482e-11, delta_acc/sec=0.000000920380,acc/byte=5.830773645673e-10, acc/sec=0.000014964113, 
Round 52: test_acc=0.043001083871, bytes=73.56544000 MB, time=2884.31067250s, delta_acc/byte=1.266399279497e-11, delta_acc/sec=0.000000323000,acc/byte=5.845283311206e-10, acc/sec=0.000014908617, 
Round 53: test_acc=0.044225328872, bytes=74.98016000 MB, time=2914.22024370s, delta_acc/byte=1.632758586579e-11, delta_acc/sec=0.000000420094,acc/byte=5.898270805501e-10, acc/sec=0.000015175699, 
